               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.015292,           0.0058263,           0.0014707,             0.88043,             0.89177,             0.92535,             0.67404,            0.021896,            0.010461,            0.013614,           0.0085843,           0.0085843,           0.0085843
                 145,            0.016269,           0.0065038,           0.0014496,             0.85453,             0.89823,             0.91494,             0.67434,            0.019402,           0.0096844,             0.01542,           0.0085744,           0.0085744,           0.0085744
                 146,            0.016098,           0.0061779,           0.0014365,             0.82042,             0.93643,             0.91274,             0.67262,            0.019927,           0.0089539,            0.017679,           0.0085645,           0.0085645,           0.0085645
                 147,            0.017151,           0.0061918,           0.0020659,             0.90647,             0.83396,             0.89904,              0.6783,            0.021814,            0.010409,            0.018906,           0.0085546,           0.0085546,           0.0085546
                 148,            0.015945,           0.0067399,           0.0020442,             0.92405,             0.90579,             0.93415,             0.70665,            0.019136,           0.0089838,           0.0096577,           0.0085447,           0.0085447,           0.0085447
                 149,            0.015052,           0.0064682,           0.0023103,             0.84195,             0.90033,              0.9125,             0.63958,            0.022755,            0.010343,            0.016944,           0.0085348,           0.0085348,           0.0085348
                 150,            0.015264,            0.005893,           0.0016857,             0.87668,             0.83674,              0.8717,             0.64367,            0.021795,            0.010215,            0.019068,           0.0085249,           0.0085249,           0.0085249
                 151,             0.01472,           0.0060544,           0.0023321,             0.88297,             0.90896,             0.92779,             0.67823,            0.020879,            0.011284,            0.011372,            0.008515,            0.008515,            0.008515
                 152,            0.014688,           0.0065132,           0.0013736,             0.91759,              0.8939,             0.93055,             0.69626,            0.021123,            0.010609,            0.011808,           0.0085051,           0.0085051,           0.0085051
                 153,            0.015158,           0.0060114,           0.0028424,             0.90652,             0.87706,             0.92785,             0.64414,            0.022298,            0.010657,            0.014136,           0.0084952,           0.0084952,           0.0084952
